DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,120,0.0,1.0,-10.74057,-48.10005,50.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,120,0.0,1.0,-10.73967,-47.86738,37.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,120,0.0,1.0,-10.73496,-48.10739,58.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,31,0.0,1.0,-12.30527,-48.12348,36.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PARANÃ,Cerrado,31,0.0,1.0,-12.2977,-48.10597,31.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,BREJINHO DE NAZARÉ,Cerrado,65,0.0,1.0,-11.07356,-48.594,152.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,BREJINHO DE NAZARÉ,Cerrado,65,0.0,1.0,-11.07073,-48.60121,224.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,BREJINHO DE NAZARÉ,Cerrado,65,0.0,1.0,-11.06744,-48.57521,152.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,BREJINHO DE NAZARÉ,Cerrado,65,0.0,1.0,-11.05915,-48.59583,187.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,BREJINHO DE NAZARÉ,Cerrado,65,0.0,1.0,-11.05609,-48.56992,54.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRÓPOLIS,Cerrado,67,0.0,1.0,-13.08877,-48.48219,171.0
